ArttÄ±rÄ±labilir Azami Bellek,Arttırılabilir Azami Bellek,BaÄŸlantÄ±lar,Bağlantılar,Bağlantılar (İkincil),Beden,Cihaz AÄŸÄ±rlÄ±ÄŸÄ±,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran KartÄ±,Ekran KartÄ± Bellek Tipi,Ekran KartÄ± HafÄ±zasÄ±,Ekran KartÄ± Tipi,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme HÄ±zÄ±,Ekran Yenileme Hızı,Ekran Özelliği,Garanti SÃ¼resi,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,KullanÄ±m AmacÄ±,Kullanım Amacı,Maksimum Ä°ÅŸlemci HÄ±zÄ± (GHz),Maksimum İşlemci Hızı (GHz),Okula DÃ¶nÃ¼ÅŸ,Okula Dönüş,Optik SÃ¼rÃ¼cÃ¼ Tipi,Optik Sürücü Tipi,Panel Tipi,Power Supply,Ram (Sistem BelleÄŸi),Ram (Sistem BelleÄŸi) Tipi,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,SSD Teknolojisi,Soket Tipi,Temel Ä°ÅŸlemci HÄ±zÄ± (GHz),Temel İşlemci Hızı (GHz),Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k,Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k StandartÄ±,Ä°ÅŸlemci FrekansÄ±,Ä°ÅŸlemci Modeli,Ä°ÅŸlemci Nesli,Ä°ÅŸlemci Tipi,Ä°ÅŸlemci Ã‡ekirdek SayÄ±sÄ±,Ä°ÅŸletim Sistemi,ÅžarjlÄ± KullanÄ±m SÃ¼resi,Çözünürlük,Çözünürlük Standartı,İşlemci Frekansı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi,url,price
,,,Bluetooth,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,,144 Hz,,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,RGB Türkçe,,Oyun,,4.4,,,,Yok,IPS,,,,32 GB,DDR4,Siyah,1 TB,,,,2,,,,,,,,,,1920 x 1080,Full HD (FHD),,12450H,12. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//casper/excalibur-g770-1245-dfj0x-b-intel-core-i5-12450h-32gb-ram-1tb-nvme-ssd-gen4-4gb-rtx3050-freedos-p-445708761?boutiqueId=61&merchantId=114258,25.899 TL
,,,,,,,2 kg ve Altı,Yok,14 inç,,,,,Dahili Ekran Kartı,Belirtilmemiş,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Apple Türkiye Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,,,,,,32 GB,Belirtilmemiş,Gri,1 TB,,,,,,,,,,,,,,3024 x 1964,Retina,,Belirtilmemiş,Belirtilmemiş,M2,12,Mac Os,,https://www.trendyol.com//apple/macbook-pro-14-m2-max-32gb-1tb-ssd-space-gray-laptop-apple-turkiye-garantili-mphg3tu-a-p-637235159?boutiqueId=632402&merchantId=968&advertItems=eyJhZHZlcnRJZCI6IjA3MmU4ZWE1LTA1YjEtNGU2ZC05MmYwLTg4ZmE0MDJjNWJlNyIsInNvcnRpbmdTY29yZSI6MC4wODc3OTY1ODg0MjgzMTg1MSwiYWRTY29yZSI6MC4wNTMyMTAwNTM1OTI5MjAzLCJhZFNjb3JlcyI6eyIxIjowLjA1MzIxMDA1MzU5MjkyMDMsIjIiOjAuMDUzMjEwMDUzNTkyOTIwM30sImNwYyI6MS42NTAwMDAwMDAwMDAwMDAxLCJtaW5DcGMiOjAuMDEsImVDcGMiOjEuNTU4NjAzNjE4MDc0NDU5MSwiYWR2ZXJ0U2xvdCI6Mywib3JkZXIiOjExLCJzZWFyY2hUZXJtIjoiYmlsZ2lzYXlhciIsImF0dHJpYnV0ZXMiOiIifQ==,104.999 TL
,,,USB - Bluetooth - HDMI,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ev - Okul,,,,,,,,,,,4 GB,DDR4,Gri,128 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,N4020,10. Nesil,Intel Celeron,2,Windows,,https://www.trendyol.com//lenovo/ip-celeron-islemci-4-gb-ram-128-gb-ssd-15-6-win-laptop-gri-82v700a9tx-p-759819201?boutiqueId=61&merchantId=451837,6.619 TL
,,,HDMI,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,,144 Hz,,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),,Oyun,,,,,,,IPS,,,,16 GB,DDR5,Siyah,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,12500H,12. Nesil,Intel Core i5,12,Free Dos,,https://www.trendyol.com//acer/nitro5-intel-core-i5-12500h-16gb-512gb-ssd-6gb-rtx4050-dos-15-6-gaming-laptop-acer-turkiye-garanti-p-741177835?boutiqueId=623361&merchantId=968,26.999 TL
,,,HDMI,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel UHD Graphics 600,Belirtilmemiş,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,128 GB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,,4 GB,DDR4,Gri,SSD Yok,,,,,,,,,,,,,,1366 x 768,HD Ready (HD),,N4120,Belirtilmemiş,Intel Celeron,4,Windows,,https://www.trendyol.com//lenovo/ideapad-1-celeron-n4120-4gb-ram-128gb-emmc-15-6-win-11-p-382953334?boutiqueId=61&merchantId=500290,6.764 TL
,64 GB,,HDMI,,,,4 kg ve Üstü,,"24"" / 61 Ekran",,,,,Nvidia GeForce RTX 2060 Super,GDDR6,6 GB,Harici,,,,,2 Yıl,Resmi Distribütör Garantili,,Var,HDD Yok,Yok,Q Türkçe,,Oyun,,,,,,Yok,VA,500 W ve üstü,,,16 GB,DDR4,,512 GB,,AM4,,3.6,,,,,,,,,,1920 x 1080,Full HD (FHD),3.00 GHz üstü,3700X,Belirtilmemiş,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//msi/izoly-xatu-x-ryzen-7-3700x-16gb-512gb-m-2-nvme-rtx-2060s-6gb-24-165hz-oyuncu-masaustu-bilgisayari-p-778744729?boutiqueId=61&merchantId=123676&advertItems=eyJhZHZlcnRJZCI6IjYyNzQ5OTI0LThhMWQtNGQ2Zi05OTM5LWFiMDdjOThkNWRhZSIsInNvcnRpbmdTY29yZSI6MC4wODE4NjkxODUwNTI4MTIxLCJhZFNjb3JlIjowLjA0Mjc3Mzg2ODg4ODYxNjU2LCJhZFNjb3JlcyI6eyIxIjowLjA0Mjc3Mzg2ODg4ODYxNjU2LCIyIjowLjA0Mjc3Mzg2ODg4ODYxNjU2fSwiY3BjIjoxLjkxNDAwMDAwMDAwMDAwMDEsIm1pbkNwYyI6MCwiZUNwYyI6MS43OTk0MDY0MzU2NDc1MjksImFkdmVydFNsb3QiOjQsIm9yZGVyIjoxNSwic2VhcmNoVGVybSI6ImJpbGdpc2F5YXIiLCJhdHRyaWJ1dGVzIjoiIn0=,"30.140,71 TL"
,,USB,,,,2 kg ve AltÄ±,,Yok,"15,6 inÃ§",Nvidia GeForce RTX 2050,GDDR6,4 GB,Harici,,,,,144 Hz,,,2 YÄ±l,,MSI TÃ¼rkiye Garantili,,,HDD Yok,,Q TÃ¼rkÃ§e (AydÄ±nlatmalÄ±),Oyun,,,,,,,,IPS,,8 GB,DDR4,,,Siyah,512 GB,,,,,1920 x 1080,Full HD (FHD),,12450H,12. Nesil,Intel Core i5,4,Free Dos,,,,,,,,,,,https://www.trendyol.com//msi/thin-gf63-12ucx-427xtr-i5-12450h-8gb-ddr4-rtx2050-gddr6-4gb-512gb-ssd-15-6-fhd-144hz-dos-p-708198686?boutiqueId=61&merchantId=773355,21.899 TL
,,,USB - Bluetooth - HDMI,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ev - Okul,,,,,,,,,,,8 GB,LPDDR5,Gri,256 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,7320U,7. Nesil,AMD Ryzen 3,4,Free Dos,,https://www.trendyol.com//acer/aspire-3-amd-ryzen-3-7320u-8gb-256gb-ssd-dos-15-6-fhd-dizustu-bilgisayar-acer-turkiye-garantili-p-755183026?boutiqueId=623361&merchantId=968,8.999 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//monster/abra-a5-v17-3-4-intel-core-i7-11800h-32gb-ram-1-tb-ssd-rtx-3050-ti-freedos-15-6-inc-fhd-144-hz-p-674248329?boutiqueId=621707&merchantId=105286,28.699 TL
,16 GB,,HDMI,,,,4 kg ve Üstü,,,,,,,AMD Radeon R7 240,DDR3,4 GB,Harici,,,,,2 Yıl,Resmi Distribütör Garantili,,Var,500 GB,Yok,Q Türkçe,,Oyun,,,,,,Yok,,350 - 500 W,,,16 GB,,,256 GB,,,,3.2,,,,,,,,,,,,3.00 GHz üstü,3470,3. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//ramtech/dg179-i5-3470-16gb-ram-256gb-ssd-500-gb-hdd-r7-240-4gb-oyuncu-pc-p-645939948?boutiqueId=626264&merchantId=187272&advertItems=eyJhZHZlcnRJZCI6ImU4YmE1NjVhLWQ5ZTItNDJlOC1iOWU2LTY4NTNiMWFjZjViMyIsInNvcnRpbmdTY29yZSI6MC4wNzYxMTIxMDIyMTA1MjE3LCJhZFNjb3JlIjowLjAzOTMxNDEwMjM4MTQ2NzgyLCJhZFNjb3JlcyI6eyIxIjowLjAzOTMxNDEwMjM4MTQ2NzgyLCIyIjowLjAzOTMxNDEwMjM4MTQ2NzgyfSwiY3BjIjoxLjkzNjAwMDAwMDAwMDAwMDIsIm1pbkNwYyI6MCwiZUNwYyI6MS44NTcwNDEyODkxMTYzNzkyLCJhZHZlcnRTbG90Ijo1LCJvcmRlciI6MTksInNlYXJjaFRlcm0iOiJiaWxnaXNheWFyIiwiYXR0cmlidXRlcyI6IiJ9,6.499 TL
,,,Bluetooth,,,,2 kg ve Altı,Yok,"13,3 inç",,,,,Dahili Ekran Kartı,DDR2,Paylaşımlı,Dahili,,120 Hz,,,2 Yıl,Apple Türkiye Garantili,,,250 GB,,Q Türkçe (Aydınlatmalı),,Ev - Okul,,,,,,,,,,,8 GB,DDR2,Gri,256 GB,,,,Belirtilmemiş,,,,,,,,,,2560 x 1600,Retina,,Belirtilmemiş,3. Nesil,Apple M1,8,Mac Os,,https://www.trendyol.com//apple/macbook-air-m1-cip-8gb-256gb-ssd-macos-13-qhd-tasinabilir-bilgisayar-uzay-grisi-mgn63tu-a-p-68042136?boutiqueId=61&merchantId=169540,27.349 TL
,,,USB,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,AMD Radeon Graphics,Belirtilmemiş,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,512 GB,,Q Türkçe,,Ofis - İş,,,,,,,,,,,16 GB,DDR4,Gri,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,5700U,5. Nesil,AMD Ryzen 7,8,Windows,,https://www.trendyol.com//huawei/matebook-d15-amd-ryzen-7-5700u-16-gb-512-gb-ssd-radeon-graphics-15-6-inch-w11-home-64bit-gri-p-732708663?boutiqueId=61&merchantId=624588,19.999 TL
,128 GB,,USB-C,Micro USB - Mini HDMI,,,2 kg ve Altı,Var,"10,1 inç",,,,,Intel UHD Graphics 600,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,İthalatçı Garantili,,,128 GB,,Q Türkçe (Aydınlatmasız),,Ev - Okul,,1.1,,,,Yok,IPS,,,,4 GB,Birleşik Bellek,Gri,SSD Yok,Gen 3,AM5,,1.1,,,,,,,,,,1280 x 800,Dokunmatik,,N4020,Belirtilmemiş,Intel Celeron,8,Windows,4-6 Saat,https://www.trendyol.com//wenn/10-1-windows-10-pro-4gb-ram-128-gb-hafiza-p-789040902?boutiqueId=61&merchantId=139461,6.831 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//izoly/twitch-i5-10400f-16gb-512gb-m-2-nvme-rx550-4gb-24-24-100hz-oyuncu-masaustu-bilgisayari-p-664199127?boutiqueId=61&merchantId=123676&advertItems=eyJhZHZlcnRJZCI6IjYyNzQ5OTI0LThhMWQtNGQ2Zi05OTM5LWFiMDdjOThkNWRhZSIsInNvcnRpbmdTY29yZSI6MC4wNzIyMjE2MjQ2NzI0MTI4NywiYWRTY29yZSI6MC4wMzc3MzMzNDYyMjM4MzExOCwiYWRTY29yZXMiOnsiMSI6MC4wMzc3MzMzNDYyMjM4MzExOCwiMiI6MC4wMzc3MzMzNDYyMjM4MzExOH0sImNwYyI6MS45MTQwMDAwMDAwMDAwMDAxLCJtaW5DcGMiOjAsImVDcGMiOjEuNjczNDM3ODU4NDgwMTk5OSwiYWR2ZXJ0U2xvdCI6Niwib3JkZXIiOjIzLCJzZWFyY2hUZXJtIjoiYmlsZ2lzYXlhciIsImF0dHJpYnV0ZXMiOiIifQ==,"18.081,53 TL"
,,,USB - Bluetooth - HDMI,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmasız),,Ofis - İş,,,,,,,IPS,,,,8 GB,DDR4,Lacivert,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,1235U,12. Nesil,Intel Core i5,10,Free Dos,,https://www.trendyol.com//asus/vivobook-15-intel-core-i5-1235u-8gb-512gb-ssd-15-6-fhd-ips-dos-lacivert-laptop-x1504za-bq322-p-762266568?boutiqueId=61&merchantId=376200,12.999 TL
,,,USB - Bluetooth - HDMI,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmasız),,Ofis - İş,,4.3,,,,,IPS,,,,16 GB,LPDDR5,Altın,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,7520U,7. Nesil,AMD Ryzen 5,4,Free Dos,6 Saat ve Üstü,https://www.trendyol.com//hp/15-fc0060nt-amd-ryzen-5-7520u-16gb-512gb-dos-15-6-fhd-siyah-laptop-hp-turkiye-garantili-8m1t2ea-p-761481836?boutiqueId=61&merchantId=144998,12.289 TL
,,,USB - Bluetooth - HDMI,,,,2 - 4 kg,Yok,"15,6 inç",,,,,AMD Radeon RX6500M,GDDR6,4 GB,Harici,,144 Hz,,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Oyun,,,,,,,IPS,,,,16 GB,DDR4,Gümüş,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,5600H,5. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//hp/victus-gaming-laptop-15-fb0015nt-r5-5600h-16gb-512gb-ssd-rx6500m-dos-15-6-fhd-144hz-7j3t4ea-p-467360063?boutiqueId=61&merchantId=106740,22.199 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//izoly/live-i5-10400f-16gb-512gb-m-2-nvme-rx580-8gb-24-24-oyuncu-masaustu-bilgisayari-p-661667066?boutiqueId=61&merchantId=123676&advertItems=eyJhZHZlcnRJZCI6IjYyNzQ5OTI0LThhMWQtNGQ2Zi05OTM5LWFiMDdjOThkNWRhZSIsInNvcnRpbmdTY29yZSI6MC4wNjIzODk3NDEzNDYyNDAwNSwiYWRTY29yZSI6MC4wMzI1OTY1MjEwNzk1NDAyNSwiYWRTY29yZXMiOnsiMSI6MC4wMzI1OTY1MjEwNzk1NDAyNSwiMiI6MC4wMzI1OTY1MjEwNzk1NDAyNX0sImNwYyI6MS45MTQwMDAwMDAwMDAwMDAxLCJtaW5DcGMiOjAsImVDcGMiOjEuNjgyODUwNzkzMjYzNzk3NSwiYWR2ZXJ0U2xvdCI6Nywib3JkZXIiOjMsInNlYXJjaFRlcm0iOiJiaWxnaXNheWFyIiwiYXR0cmlidXRlcyI6IiJ9,"18.510,93 TL"
,,HDMI,,,,2 kg ve AltÄ±,,Yok,"15,6 inÃ§",Intel Iris Graphics,BelirtilmemiÅŸ,PaylaÅŸÄ±mlÄ±,Dahili,,,,,60 Hz,,,2 YÄ±l,,Casper TÃ¼rkiye Garantili,,,HDD Yok,,Q TÃ¼rkÃ§e,Ofis - Ä°ÅŸ,,4.5,,,,Yok,,IPS,,16 GB,DDR4,,,Metalik,500 GB,,,2.5,,1920 x 1080,Full HD (FHD),,1155G7,11. Nesil,Intel Core i5,4,Free Dos,,,,,,,,,,,https://www.trendyol.com//casper/nirvana-c500-1155-bv00x-g-f-intel-core-i5-1155g7-16gb-ram-500gb-nvme-ssd-gen4-freedos-p-349212808?boutiqueId=623361&merchantId=968,13.599 TL
