ArttÄ±rÄ±labilir Azami Bellek,Arttırılabilir Azami Bellek,BaÄŸlantÄ±lar,Bağlantılar,Bağlantılar (İkincil),Beden,Cihaz AÄŸÄ±rlÄ±ÄŸÄ±,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran KartÄ±,Ekran KartÄ± Bellek Tipi,Ekran KartÄ± HafÄ±zasÄ±,Ekran KartÄ± Tipi,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme HÄ±zÄ±,Ekran Yenileme Hızı,Ekran Özelliği,Garanti SÃ¼resi,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,KullanÄ±m AmacÄ±,Kullanım Amacı,Maksimum Ä°ÅŸlemci HÄ±zÄ± (GHz),Maksimum İşlemci Hızı (GHz),Okula DÃ¶nÃ¼ÅŸ,Okula Dönüş,Optik SÃ¼rÃ¼cÃ¼ Tipi,Optik Sürücü Tipi,Panel Tipi,Power Supply,Ram (Sistem BelleÄŸi),Ram (Sistem BelleÄŸi) Tipi,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,SSD Teknolojisi,Soket Tipi,Temel Ä°ÅŸlemci HÄ±zÄ± (GHz),Temel İşlemci Hızı (GHz),Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k,Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k StandartÄ±,Ä°ÅŸlemci FrekansÄ±,Ä°ÅŸlemci Modeli,Ä°ÅŸlemci Nesli,Ä°ÅŸlemci Tipi,Ä°ÅŸlemci Ã‡ekirdek SayÄ±sÄ±,Ä°ÅŸletim Sistemi,ÅžarjlÄ± KullanÄ±m SÃ¼resi,Çözünürlük,Çözünürlük Standartı,İşlemci Frekansı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi,url,price
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//monster/abra-a5-v17-4-4-intel-core-i7-11800h-32gb-ram-1-tb-ssd-rtx-3060-freedos-15-6-inc-fhd-144-hz-p-674424445?boutiqueId=61&merchantId=105286,30.199 TL
,,,VGA - HDMI,,,,,,,,,,,Intel HD Graphics,DDR3,,Dahili,,,,,2 Yıl,İthalatçı Garantili,,Var,HDD Yok,250 GB altı,Yok,,Ofis - İş,,,,,,Yok,,250 - 350 W,,,8 GB,DDR3,Beyaz,256 GB,Gen 3,,,3.6,,,,,,,,,,,,3.00 GHz üstü,3570,3. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//mei/ng2-i5-3570-8gb-256gb-m2-ssd-p-775445644?boutiqueId=61&merchantId=354122&advertItems=eyJhZHZlcnRJZCI6ImFkZDg2Njc4LTdjNGYtNDgzNi04ZTZiLTRkYzdmYTY1N2RlYSIsInNvcnRpbmdTY29yZSI6MC4wMjMyNDA2NjI0MjIyNjk3OSwiYWRTY29yZSI6MC4wMTc3NzU2Njc4MzEzMDE2OSwiYWRTY29yZXMiOnsiMSI6MC4wMTc3NzU2Njc4MzEzMDE2OSwiMiI6MC4wMTc3NzU2Njc4MzEzMDE2OX0sImNwYyI6MS4zMDc0NDI0MzQzOTAyNjQ0LCJtaW5DcGMiOjAuMDEsImVDcGMiOjEuMTA3Njk0NzQzMDgzOTkyLCJhZHZlcnRTbG90IjozMSwib3JkZXIiOjMsInNlYXJjaFRlcm0iOiJiaWxnaXNheWFyIiwiYXR0cmlidXRlcyI6IiJ9,3.179 TL
,,,USB - Bluetooth - HDMI,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,,144 Hz,,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),,Oyun,,,,,,,IPS,,,,16 GB,DDR5,Siyah,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,7840HS,7. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//lenovo/loq-amd-ryzen-7-7840hs-16gb-512gb-ssd-rtx4060-8gb-dos-15-6-144hz-gaming-laptop-82xt00bhtx-p-772120069?boutiqueId=623361&merchantId=968,35.999 TL
,,,USB - Bluetooth - HDMI,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),,Ofis - İş,,4.4,,,,,IPS,,,,16 GB,DDR4,Gri,500 GB,Gen 3,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,1235U,12. Nesil,Intel Core i5,10,Free Dos,,https://www.trendyol.com//casper/nirvana-c550-1235-bv00x-g-f-intel-core-i5-1235u-16gb-ram-500gb-nvme-ssd-gen4-freedos-p-740918586?boutiqueId=61&merchantId=274908,15.200 TL
,32 GB,,HDMI,,Tek Ebat,,4 kg ve Üstü,,"24"" / 61 Ekran",,,,,AMD Radeon RX 550,GDDR5,4 GB,Harici,,75 Hz,,,2 Yıl,Resmi Distribütör Garantili,,Var,,1 TB,RGB,,Oyun,,,,Evde Eğitim,,Yok,IPS,500 W ve üstü,,,16 GB,DDR4,,256 GB,,,,3.6,,,,,,,,,,1920 x 1080,Full HD (FHD),3.00 GHz üstü,3600,3. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//biggamex/bg14-ryzen-5-3600-16gb-ram-256gb-ssd-1tb-hdd-rx550-4gb-23-8-oyuncu-masaustu-bilgisayari-p-129519615?boutiqueId=61&merchantId=192618,15.149 TL
,,,USB-C,,,,2 kg ve Altı,Yok,14 inç,,,,,M3,Dahili,Paylaşımlı,Dahili,,120 Hz,,,2 Yıl,Apple Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Ofis - İş,,,,,,,,,,,18 GB,Birleşik Bellek,Siyah,1 TB,,,,,,,,,,,,,,3024 x 1964,Retina,,M3,3. Nesil,M3,12,Mac Os,6 Saat ve Üstü,https://www.trendyol.com//apple/macbook-pro-m3-14-uzay-siyah-18gb-1tb-ssd-mrx43tu-a-p-777662380?boutiqueId=623361&merchantId=968&advertItems=eyJhZHZlcnRJZCI6IjA3MmU4ZWE1LTA1YjEtNGU2ZC05MmYwLTg4ZmE0MDJjNWJlNyIsInNvcnRpbmdTY29yZSI6MC4wMTkzMzQ1MDA3MDIwOTgwMTMsImFkU2NvcmUiOjAuMDExNzE3ODc5MjEzMzkyNzM1LCJhZFNjb3JlcyI6eyIxIjowLjAxMTcxNzg3OTIxMzM5MjczNSwiMiI6MC4wMTE3MTc4NzkyMTMzOTI3MzV9LCJjcGMiOjEuNjUwMDAwMDAwMDAwMDAwMSwibWluQ3BjIjowLjAxLCJlQ3BjIjoxLjU0NjMxNjgwMDMxMTczNDIsImFkdmVydFNsb3QiOjMyLCJvcmRlciI6Nywic2VhcmNoVGVybSI6ImJpbGdpc2F5YXIiLCJhdHRyaWJ1dGVzIjoiIn0=,93.299 TL
,,,USB - Bluetooth - HDMI,,,,2 kg ve Altı,Yok,14 inç,,,,,Intel UHD Graphics,DDR4,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ev - Okul,,,,,,,,,,,4 GB,DDR4,Gri,128 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,N4020,9. Nesil,Intel Celeron,4,Windows,,https://www.trendyol.com//asus/intel-cel-n4020-4gb-ram-128gb-ssd-14-fhd-windows-11-gri-laptop-x415ma-ek385w-p-343054363?boutiqueId=61&merchantId=514600,7.599 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//technopc/t14n3-celeron-n3450-4gb-128gb-wifi-0-3m-7-4v-14-notebook-3g-tablet-p-315306563?boutiqueId=61&merchantId=149670,6.790 TL
,,,USB - Bluetooth - HDMI,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,,,,,,,,,,16 GB,DDR4,Gri,1 TB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,5700U,5. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//casper/nirvana-x600-5700-bf00x-g-f-amd-ryzen-7-5700u-16gb-1tb-nvme-ssd-15-6-dos-gri-dizustu-bilgisayar-p-780124063?boutiqueId=623361&merchantId=968,13.999 TL
,,,Bluetooth,,,,,,,,,,,Dahili Ekran Kartı,Belirtilmemiş,,,,,,,,Resmi Distribütör Garantili,,,,Yok,Q Türkçe,,,,,,,,Yok,,,,,8 GB,,Yeşil,512 GB,,,,,,,,,,,,,,,Retina,,Belirtilmemiş,,Apple M1,,Mac Os,,https://www.trendyol.com//apple/imac-24-m1-8gb-512gb-ssd-yesil-p-106879905?boutiqueId=623361&merchantId=968&advertItems=eyJhZHZlcnRJZCI6IjBiYjliNDBmLThiN2QtNGI4ZC04ZTQwLWFlNDQ4NTYyODU5NCIsInNvcnRpbmdTY29yZSI6MC4wMTc4ODUxOTc1NzcwNjY3MjMsImFkU2NvcmUiOjAuMDEwMDk4OTI1NzkxNjgwODEzLCJhZFNjb3JlcyI6eyIxIjowLjAxMDA5ODkyNTc5MTY4MDgxMywiMiI6MC4wMTAwOTg5MjU3OTE2ODA4MTN9LCJjcGMiOjEuNzcxMDAwMDAwMDAwMDAwNCwibWluQ3BjIjowLjAxLCJlQ3BjIjowLjgyMDM3MDM0MjgyMzc1OTYsImFkdmVydFNsb3QiOjMzLCJvcmRlciI6MTEsInNlYXJjaFRlcm0iOiJiaWxnaXNheWFyIiwiYXR0cmlidXRlcyI6IiJ9,51.999 TL
,,,USB,,,,2 - 4 kg,Yok,"16,1 inç",,,,,Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,,144 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,500 GB,,Q Türkçe,,Oyun,,,,,,,Full HD,,,,16 GB,DDR5,Gümüş,1 TB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,7840HS,7. Nesil,AMD Ryzen 7,8,Windows,,https://www.trendyol.com//hp/victus-16-s0003nt-7-nesil-ryzen-7-7840hs-rtx4070-8gb-16gb-512gb-16-1inc-w11-p-779237022?boutiqueId=61&merchantId=624588,39.999 TL
,16 GB,,HDMI,,,,2 - 4 kg,,"24"" / 61 Ekran",,,,,Nvıdıa GeForce GT 730,DDR3,4 GB,Harici,,75 Hz,,,2 Yıl,Resmi Distribütör Garantili,,Var,1 TB,1 TB,RGB,,Oyun,,,,,,Yok,IPS,500 W ve üstü,,,16 GB,,Siyah,240 GB,,,,3.2,,,,,,,,,,1920 x 1080,Full HD (FHD),3.00 GHz üstü,İ5-3470,3. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//biggamex/gr40-i5-3470-16gb-ram-1tb-hdd-256gb-ssd-gt730-23-8-oyuncu-masaustu-bilgisayari-p-71312478?boutiqueId=61&merchantId=192618,10.999 TL
,,,Bluetooth,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmasız),,Ofis - İş,,4.1,,,,,IPS,,,,16 GB,DDR4,Gri,1 TB,Gen 4,,,3,,,,,,,,,,1920 x 1080,Full HD (FHD),,1115G4,11. Nesil,Intel Core i3,2,Free Dos,,https://www.trendyol.com//casper/nirvana-c500-1115-bf00x-g-f-intel-core-i3-1115g4-16gb-ram-1tb-ssd-gen4-freedos-p-445476720?boutiqueId=61&merchantId=129813,12.699 TL
,,,,,,,,,,,,,,Belirtilmemiş,Belirtilmemiş,,Paylaşımlı,,,,,2 Yıl,İthalatçı Garantili,,,HDD Yok,1 TB,Yok,,Tasarım,,,,,,Yok,,,,,128 GB,DDR4,Siyah,1 TB,,,,,,,,,,,,,,,,,Xeon Silver 4214,Belirtilmemiş,Intel Xeon,24,Free Dos,,https://www.trendyol.com//oem/intel-xeon-gold-6138-cift-islemci-80-cekirdek-512-gb-ddr4-ecc-ram-1-tb-nvme-workstation-server-p-785966309?boutiqueId=61&merchantId=192829&advertItems=eyJhZHZlcnRJZCI6IjFmYmUzZTA1LWQ0MTItNDM5Yi1iMTY4LWRlOTlkMTZjM2E2ZiIsInNvcnRpbmdTY29yZSI6MC4wMDgwODI4Nzk3ODE3MjMwMjQsImFkU2NvcmUiOjAuMDM2NzQwMzYyNjQ0MTk1NTYsImFkU2NvcmVzIjp7IjEiOjAuMDM2NzQwMzYyNjQ0MTk1NTYsIjIiOjAuMDM2NzQwMzYyNjQ0MTk1NTZ9LCJjcGMiOjAuMjIwMDAwMDAwMDAwMDAwMDMsIm1pbkNwYyI6MC4wMSwiZUNwYyI6MC4yMDAzNjMzNDQ0ODAwMjY5MywiYWR2ZXJ0U2xvdCI6MzQsIm9yZGVyIjoxNSwic2VhcmNoVGVybSI6ImJpbGdpc2F5YXIiLCJhdHRyaWJ1dGVzIjoiIn0=,"116.999,99 TL"
,,,Bluetooth,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Dahili Ekran Kartı,DDR4,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Ofis - İş,,,,,,,,,,,8 GB,DDR4,Gri,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,5500U,5. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//lenovo/ideapad-3-15alc6-amd-ryzen-5-5500u-8gb-512gb-ssd-freedos-15-6-fhd-82ku0081tx-p-144480720?boutiqueId=61&merchantId=169540,14.896 TL
,,,,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,,120 Hz,,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe,,Oyun,,,,,,,IPS,,,,16 GB,DDR5,Siyah,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,6600H,6. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//lenovo/ip-gaming-3-15arh7-amd-ryzen-5-6600h-16gb-512gb-ssd-rtx3050ti-4gb-15-6-fhd-120hz-dos-82sb00fstx-p-402362581?boutiqueId=61&merchantId=557390,23.499 TL
,,,USB - Bluetooth - HDMI,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,4.7,,,,,IPS,,,,16 GB,DDR4,Gümüş,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,1255U,12. Nesil,Intel Core i7,10,Free Dos,,https://www.trendyol.com//asus/vivobook-15-x1504za37-bq441a37-intel-core-i7-1255u-16gb-512gb-ssd-freedos-15-6-p-779144943?boutiqueId=61&merchantId=155616,"21.224,78 TL"
,,,,,,,,,,,,,,Nvidia GeForce GT 730,DDR3,,Dahili,,,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,Yok,Q Türkçe,,,,,,,,Yok,,,,,16 GB,,Siyah,512 GB,,,,,,,,,,,,,,,,,3470,3. Nesil,Intel Core i5,6,Free Dos,,https://www.trendyol.com//suncom/raks-gmg101-i5-3470-16gb-512gb-ssd-gt730-freedos-masaustu-pc-wifi-oyuncu-seti-p-777945921?boutiqueId=61&merchantId=106664&advertItems=eyJhZHZlcnRJZCI6ImI3ZmUwN2YwLTUwODQtNDRhYi1iN2I4LWNjMWFlNjExMGEzYiIsInNvcnRpbmdTY29yZSI6MC4wMDY2MjY2MTUwNjYwODEyODYsImFkU2NvcmUiOjAuMDMxNzA2MjkyMTgyMjA3MTEsImFkU2NvcmVzIjp7IjEiOjAuMDMxNzA2MjkyMTgyMjA3MTEsIjIiOjAuMDMxNzA2MjkyMTgyMjA3MTF9LCJjcGMiOjAuMjA5MDAwMDAwMDAwMDAwMDIsIm1pbkNwYyI6MC4wMSwiZUNwYyI6MC4yMDkwMDAwMDAwMDAwMDAwMiwiYWR2ZXJ0U2xvdCI6MzUsIm9yZGVyIjoxOSwic2VhcmNoVGVybSI6ImJpbGdpc2F5YXIiLCJhdHRyaWJ1dGVzIjoiIn0=,7.299 TL
,,,HDMI - USB,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Dahili Ekran Kartı,Dahili,Paylaşımlı,Harici,,60 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,256 GB,,Q Türkçe (Aydınlatmalı),,Ofis - İş,,,,,,,,,,,8 GB,LPDDR5,Beyaz,256 GB,,,,,,,,,,,,,,1920 x 1080,HD Ready (HD),,N305,3. Nesil,Intel Core i3,8,Free Dos,,https://www.trendyol.com//acer/aspire-3-a315-510p-38x0-15-6-fhd-intel-i3-n305-8-gb-ddr5-ram-256-gb-ssd-freedos-nx-kdhey-003-p-734373841?boutiqueId=61&merchantId=784150,9.430 TL
,,,HDMI - USB,,,,2 - 4 kg,Yok,"16,1 inç",,,,,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,,144 Hz,,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Oyun,,,,,,,IPS,,,,32 GB,DDR5,Siyah,1 TB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,13700H,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//hp/victus-16-r0065nt-8b5y3ea-i7-13700h-32-gb-ram-1-tb-ssd-8-gb-rtx-4060-16-1-fhd-freedos-p-758800085?boutiqueId=61&merchantId=467452,41.999 TL
,,,USB,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel UHD Graphics,Belirtilmemiş,Paylaşımlı,Dahili,,120 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,512 GB,,Q Türkçe,,Ofis - İş,,,,,,,,,,,8 GB,DDR4,Gümüş,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,Belirtilmemiş,Windows,,https://www.trendyol.com//dell/inspiron-15-3520-11-nesil-core-i5-1135g7-8gb-512gb-ssd-15-6inc-w11-p-779241099?boutiqueId=61&merchantId=441895,15.699 TL
,,,,,,,,,,,,,,Nvidia GeForce RTX 4060,DDR4,,Harici,,,,,3 Yıl,Resmi Distribütör Garantili,,,HDD Yok,Yok,,,Oyun,,,,,,Yok,,,,,32 GB,,,1 TB,,,,,,,,,,,,,,,,,11700F,11. Nesil,Intel Core i7,12,Free Dos,,https://www.trendyol.com//zenon/raks-tr107-i7-11700f-32gb-1tbssd-rtx4060-8gb-freedos-gaming-masaustu-bilgisayar-p-779887169?boutiqueId=61&merchantId=106664&advertItems=eyJhZHZlcnRJZCI6ImI3ZmUwN2YwLTUwODQtNDRhYi1iN2I4LWNjMWFlNjExMGEzYiIsInNvcnRpbmdTY29yZSI6MC4wMDY0Njc3NzU0MTM3NjY1MDQsImFkU2NvcmUiOjAuMDMwOTQ2MjkzODQ1NzcyNzQzLCJhZFNjb3JlcyI6eyIxIjowLjAzMDk0NjI5Mzg0NTc3Mjc0MywiMiI6MC4wMzA5NDYyOTM4NDU3NzI3NDN9LCJjcGMiOjAuMjA5MDAwMDAwMDAwMDAwMDIsIm1pbkNwYyI6MCwiZUNwYyI6MC4yMDkwMDAwMDAwMDAwMDAwMiwiYWR2ZXJ0U2xvdCI6MzYsIm9yZGVyIjoyMywic2VhcmNoVGVybSI6ImJpbGdpc2F5YXIiLCJhdHRyaWJ1dGVzIjoiIn0=,30.149 TL
,16 GB,,USB - Bluetooth - HDMI,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel Iris Graphics,DDR4,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),,Ev - Okul,,,,,,Yok,IPS,,,,8 GB,DDR4,Gri,512 GB,Gen 4,,,2.1,,,,,,,,,,1920 x 1080,FHD+,,1235U,12. Nesil,Intel Core i5,8,Windows,,https://www.trendyol.com//msi/modern-15-b12mo-i5-1235u-8-ram-512-ssd-win-11-isikli-klavye-15-6-p-760144517?boutiqueId=61&merchantId=164330,16.499 TL
,,,Bluetooth,,,,2 kg ve Altı,Var,"11,6 inç",,,,,Intel UHD Graphics,DDR4,1 GB,Dahili,,90 Hz,,,3 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe,,Ev - Okul,,,,,,Yok,IPS,,,,8 GB,DDR4,Siyah,64 GB,,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,N4120,12. Nesil,Intel Celeron,2,Windows,6 Saat ve Üstü,https://www.trendyol.com//acer/spin-511-r752t-c5y6-intel-celeron-n4120-8-gb-ram-64-gb-ssd-11-6-uhd-katlanabilir-dokunmatik-p-462324895?boutiqueId=626264&merchantId=234804,"8.394,90 TL"
,,,USB - Bluetooth - HDMI,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,4.2,,,,Yok,VA,,,,8 GB,DDR4,Siyah,256 GB,,,,2.4,,,,,,,,,,1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Free Dos,3 Saat ve Altı,https://www.trendyol.com//hp/250-core-i5-1135g7-islemci-8gb-ram-256gb-ssd-15-6-fhd-freedos-laptop-siyah-853u7es-p-773440801?boutiqueId=61&merchantId=857388,11.399 TL
,,,,,,,,,,,,,,Belirtilmemiş,Dahili,,Paylaşımlı,,,,,2 Yıl,İthalatçı Garantili,,,HDD Yok,1 TB,Yok,,Tasarım,,,,,,Yok,,500 W ve üstü,,,128 GB,DDR4,Siyah,1 TB,,,,2.1,,,,,,,,,,,,,E52683,Belirtilmemiş,Intel Xeon,24,Free Dos,,https://www.trendyol.com//coldpower/workstation-f-xeon-e5-2683v4-64-cekirdek-islemci-512-gb-ecc-ram-1tb-nvme-750-watt-80-psu-p-761575888?boutiqueId=61&merchantId=192829&advertItems=eyJhZHZlcnRJZCI6ImE1ZTIxMDAyLTYyNTQtNGI1Mi1iNDFhLTNhOTQ3OWEwMjJmOSIsInNvcnRpbmdTY29yZSI6MC4wMDYxNzkxNDk0MDIzMDU0ODQsImFkU2NvcmUiOjAuMDIzNTU2MTk3MDYyMTM0NzQzLCJhZFNjb3JlcyI6eyIxIjowLjAyMzU1NjE5NzA2MjEzNDc0MywiMiI6MC4wMjM1NTYxOTcwNjIxMzQ3NDN9LCJjcGMiOjAuMjc1LCJtaW5DcGMiOjAuMDEsImVDcGMiOjAuMjM5ODIxODk5Mzc4MjM3LCJhZHZlcnRTbG90IjozNywib3JkZXIiOjMsInNlYXJjaFRlcm0iOiJiaWxnaXNheWFyIiwiYXR0cmlidXRlcyI6IiJ9,"78.899,99 TL"
,,,USB,,,,,,22 - 24 inç,,,,,Nvidia Geforce GT 740,GDDR5,4 GB,Harici,,75 Hz,,,2 Yıl,Resmi Distribütör Garantili,,Var,HDD Yok,512 GB,Q Türkçe,,Oyun,,,,,,Yok,,350 - 500 W,,,16 GB,DDR3,Çok Renkli,512 GB,,,,3.2,,,,,,,,,,1920 x 1080,,3.00 GHz üstü,3470,3. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//turbox/tx3814-i5-3470-16gb-ram-512gb-m-2-nvme-4gb-gt740-gddr5-23-6-curved-cift-monitor-p-746392150?boutiqueId=61&merchantId=107513,12.999 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//turbox/tx826-i7-860-16gb-ram-256gb-ssd-4gb-ekran-karti-masaustu-oyun-pc-bilgisayari-p-129744655?boutiqueId=61&merchantId=107513,4.799 TL
,,,USB - Bluetooth - HDMI,,,,2 - 4 kg,Yok,"15,6 inç",,,,,AMD Radeon Vega 3,DDR3,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,4.1,,,,,TN,,,,8 GB,LPDDR5,Gri,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,7320U,7. Nesil,AMD Ryzen 3,4,Free Dos,4-6 Saat,https://www.trendyol.com//lenovo/ideapad-15amn7-82vg00gptx-freedos-amd-ryzen-3-7320u-8-ram-512-ssd-p-776155862?boutiqueId=61&merchantId=110963,9.924 TL
,256 GB,,USB,,,,4 kg ve Üstü,,,,,,,Intel HD Graphics,Dahili,,Paylaşımlı,,,,,2 Yıl,İthalatçı Garantili,,,HDD Yok,1 TB,Yok,,Tasarım,,,,,,Yok,,500 W ve üstü,,,128 GB,DDR4,Siyah,512 GB,,,,2.1,,,,,,,,,,,,2.50 GHz - 3.00 GHz,E52683,Belirtilmemiş,Intel Xeon,20,Free Dos,,https://www.trendyol.com//oem/intel-xeon-e5-2683v4-cift-islemci-64-cekirdek-128-gb-ddr4-ram-512-gb-nvme-750-workstation-p-340683842?boutiqueId=61&merchantId=192829&advertItems=eyJhZHZlcnRJZCI6Ijg2MjhiZDMyLTA0MmUtNGFjYy1iN2M0LWM2OGNkOGQ4ODJlMiIsInNvcnRpbmdTY29yZSI6MC4wMDQ5MzkzMTc3OTYzNzkzMjgsImFkU2NvcmUiOjAuMDE5Mjk1Mjc3MDczOTc5Mzc4LCJhZFNjb3JlcyI6eyIxIjowLjAxOTI5NTI3NzA3Mzk3OTM3OCwiMiI6MC4wMTkyOTUyNzcwNzM5NzkzNzh9LCJjcGMiOjAuMjc1LCJtaW5DcGMiOjAuMDEsImVDcGMiOjAuMjc1LCJhZHZlcnRTbG90IjozOCwib3JkZXIiOjcsInNlYXJjaFRlcm0iOiJiaWxnaXNheWFyIiwiYXR0cmlidXRlcyI6IiJ9,"37.999,99 TL"
,,,USB - Bluetooth - HDMI,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,,144 Hz,,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),,Oyun,,4.7,,,,,IPS,,,,32 GB,DDR4,Siyah,1 TB,Gen 4,,,2.3,,,,,,,,,,1920 x 1080,Full HD (FHD),,12650H,12. Nesil,Intel Core i7,10,Windows,3 Saat ve Altı,https://www.trendyol.com//monster/tulpar-t5-v23-2-5-intel-core-i7-12650h-32-gb-ram-1-tb-ssd-8-gb-rtx-4060-windows-11-15-6-fhd-144-hz-p-745868600?boutiqueId=61&merchantId=105286,39.999 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//asus/x515ea-bq1185w-intel-i5-1135g7-8gb-ram-512gb-ssd-iris-xe-15-6-fhd-ips-w11-notebook-p-349920496?boutiqueId=61&merchantId=880551,15.199 TL
